s,DDR3_A5_U5.P2_NoTerm,DDR3_A5_U4.P2_NoTerm,DDR3_A5_U2.K5_NoTerm
4.55090098938626E-9,1.23422253131866,1.23425781726837,1.23467814922333
4.58946791681569E-9,1.23518919944763,1.23526418209076,1.23388910293579
4.62803484424512E-9,1.23471212387085,1.23479759693146,1.23309993743896
4.66660177167455E-9,1.23307645320892,1.23314034938812,1.2314647436142
4.70516869910398E-9,1.23089623451233,1.23091530799866,1.22982954978943
4.74373562653341E-9,1.2290678024292,1.22903645038605,1.22942471504211
4.78230255396284E-9,1.22808301448822,1.22801446914673,1.2290198802948
4.82086948139226E-9,1.22827088832855,1.22819185256958,1.2300785779953
4.8594368529109E-9,1.22944045066833,1.22938072681427,1.2311372756958
4.89800378034033E-9,1.23106801509857,1.23104929924011,1.2321138381958
4.93657070776976E-9,1.23263037204742,1.23265826702118,1.2330904006958
4.97513763519919E-9,1.23352527618408,1.2335878610611,1.2276109457016
5.01370456262862E-9,1.23357677459717,1.23364949226379,1.2221314907074
5.05227149005805E-9,1.232830286026,1.23288571834564,1.15755867958069
5.09083841748748E-9,1.23160135746002,1.23161947727203,1.09298598766327
5.1294053449169E-9,1.23039567470551,1.23037087917328,0.94680655002594
5.16797227234633E-9,1.22945976257324,1.22940301895142,0.800627112388611
5.20653919977576E-9,1.22867524623871,1.22860908508301,0.640677094459534
5.24510612720519E-9,1.22636151313782,1.22631287574768,0.480727076530457
5.28367305463462E-9,1.21869194507599,1.21868133544922,0.372411817312241
5.32223998206405E-9,1.19786310195923,1.19790208339691,0.264096558094025
5.36080690949348E-9,1.15260303020477,1.15268421173096,0.220091581344604
5.3993738369229E-9,1.07771050930023,1.07781481742859,0.176086589694023
5.43794120844154E-9,0.971286475658417,0.971386671066284,0.172325670719147
5.47650813587097E-9,0.841649651527405,0.841713786125183,0.168564796447754
5.5150750633004E-9,0.704593539237976,0.704602777957916,0.187670260667801
5.55364199072983E-9,0.573427677154541,0.573375880718231,0.206775709986687
5.59220891815926E-9,0.462720453739166,0.462620973587036,0.243821322917938
5.63077584558869E-9,0.377939075231552,0.377820193767548,0.280866950750351
5.66934277301812E-9,0.320394933223724,0.32029139995575,0.320417433977127
5.70790970044754E-9,0.285148411989212,0.285090506076813,0.359967917203903
5.74647662787697E-9,0.262965083122253,0.262967169284821,0.377014875411987
5.7850435553064E-9,0.246176555752754,0.246234536170959,0.394061803817749
5.82361048273583E-9,0.226979240775108,0.227069497108459,0.380703449249268
5.86217741016526E-9,0.203996017575264,0.204083874821663,0.367345124483109
5.90074433759469E-9,0.179342865943909,0.179395973682404,0.34178751707077
5.93931126502412E-9,0.157789379358292,0.157786190509796,0.31622987985611
5.97787819245355E-9,0.146093592047691,0.146033450961113,0.30069026350975
6.01644556397218E-9,0.146743983030319,0.146646901965141,0.285150468349457
6.05501249140161E-9,0.159918144345284,0.159816756844521,0.282088935375214
6.09357941883104E-9,0.18195016682148,0.181880503892899,0.279027372598648
6.13214634626047E-9,0.206228166818619,0.206214159727097,0.275517374277115
6.1707132736899E-9,0.227703094482422,0.227749884128571,0.272007375955582
6.20928020111933E-9,0.241357982158661,0.241448670625687,0.260643184185028
6.24784712854876E-9,0.246336951851845,0.246439039707184,0.249278992414474
6.28641405597818E-9,0.244034647941589,0.244112223386765,0.237344279885292
