s,DDR3_A1_U5.P7_NoTerm,DDR3_A1_U4.P7_NoTerm,DDR3_A1_U2.M5_NoTerm
8.53483950180589E-9,0.241364225745201,0.241400361061096,0.241390198469162
8.58072546350286E-9,0.241367444396019,0.241399094462395,0.241392970085144
8.62661231337825E-9,0.241383135318756,0.241394266486168,0.241395741701126
8.67249827507521E-9,0.24140240252018,0.241388633847237,0.24139729142189
8.71838423677218E-9,0.241415053606033,0.241385102272034,0.241398826241493
8.76427108664757E-9,0.241415649652481,0.241385951638222,0.241396531462669
8.81015704834454E-9,0.241404891014099,0.241390407085419,0.241394251585007
8.8560430100415E-9,0.241391107439995,0.241398677229881,0.241393029689789
8.90192897173847E-9,0.241380602121353,0.24140477180481,0.241391822695732
8.94781582161386E-9,0.241378888487816,0.241406232118607,0.241393238306046
8.99370178331083E-9,0.24138605594635,0.24140228331089,0.241394639015198
9.03958774500779E-9,0.241397649049759,0.241395145654678,0.241395547986031
9.08547459488318E-9,0.241407200694084,0.241388469934464,0.241396456956863
9.13136055658015E-9,0.241410031914711,0.241385772824287,0.241395771503448
9.17724651827712E-9,0.241405338048935,0.241388365626335,0.241395100951195
9.2231333681525E-9,0.241396069526672,0.241394653916359,0.241394683718681
9.26901932984947E-9,0.241387382149696,0.241401240229607,0.241394266486168
9.31490529154644E-9,0.241383612155914,0.241404622793198,0.241395190358162
9.36079214142183E-9,0.24138617515564,0.241403073072433,0.241396129131317
9.40667810311879E-9,0.241393238306046,0.241397604346275,0.24139603972435
9.45256406481576E-9,0.24140077829361,0.241391181945801,0.241395965218544
9.49845002651273E-9,0.241404935717583,0.241387218236923,0.241395756602287
9.54433687638812E-9,0.241403937339783,0.241387739777565,0.241395547986031
9.59022283808508E-9,0.241398692131042,0.241391628980637,0.241395443677902
9.63610879978205E-9,0.24139216542244,0.241398021578789,0.241395324468613
9.68199564965744E-9,0.241387665271759,0.241402357816696,0.241395369172096
9.72788161135441E-9,0.241387382149696,0.24140290915966,0.24139541387558
9.77376757305137E-9,0.241391628980637,0.241398930549622,0.241395384073257
9.81965442292676E-9,0.241397127509117,0.241394191980362,0.241395339369774
9.86554038462373E-9,0.241401493549347,0.241390109062195,0.241395324468613
9.9114263463207E-9,0.241402342915535,0.241389155387878,0.241395309567451
9.95731319619608E-9,0.241398632526398,0.241392642259598,0.241395309567451
